X,Y,R,T,long
-2.18439e-09,-1.80763e-11,2.18428e-09,-179.58,453
-2.18439e-09,-1.603e-11,2.18428e-09,-179.634,452
-2.18439e-09,-1.52341e-11,2.18428e-09,-179.664,451
-2.18439e-09,-1.23919e-11,2.18428e-09,-179.73,450
-2.18439e-09,-1.04592e-11,2.18428e-09,-179.778,449
-2.18439e-09,-8.29919e-12,2.18428e-09,-179.826,448
-2.18439e-09,-5.57068e-12,2.18428e-09,-179.886,447
-2.18439e-09,-2.16006e-12,2.18428e-09,-179.958,446
-2.18439e-09,2.27375e-13,2.18428e-09,179.988,445
-2.18439e-09,2.95587e-12,2.18428e-09,179.934,444
-2.18439e-09,5.457e-12,2.18428e-09,179.886,443
-2.18439e-09,6.36649e-12,2.18428e-09,179.868,442
-2.18439e-09,7.3897e-12,2.18428e-09,179.844,441
-2.18439e-09,7.50339e-12,2.18428e-09,179.838,440
-2.18439e-09,7.50339e-12,2.18428e-09,179.832,439
-2.18439e-09,6.93492e-12,2.18428e-09,179.844,438
-2.18439e-09,5.79806e-12,2.18428e-09,179.868,437
-2.18439e-09,4.88856e-12,2.18428e-09,179.886,436
-2.18439e-09,2.04638e-12,2.18428e-09,179.952,435
-2.18439e-09,-2.27375e-13,2.18428e-09,-179.994,434
-2.18439e-09,-3.06956e-12,2.18428e-09,-179.916,433
-2.13028e-09,-6.02543e-12,2.10595e-09,-179.838,432
-2.04501e-09,-8.75394e-12,2.0208e-09,-179.754,431
-1.95907e-09,-1.14824e-11,1.9344e-09,-179.664,430
-1.86505e-09,-1.36425e-11,1.84082e-09,-179.58,429
-1.78012e-09,-1.56889e-11,1.75567e-09,-179.496,428
-1.69428e-09,-1.72805e-11,1.67007e-09,-179.412,427
-1.61015e-09,-1.83037e-11,1.58605e-09,-179.346,426
-1.52705e-09,-1.92132e-11,1.50329e-09,-179.28,425
-1.45054e-09,-1.90995e-11,1.42644e-09,-179.244,424
-1.36959e-09,-1.819e-11,1.34595e-09,-179.244,423
-1.29558e-09,-1.71668e-11,1.27205e-09,-179.244,422
-1.22407e-09,-1.54615e-11,1.20065e-09,-179.286,421
-1.157e-09,-1.25056e-11,1.13369e-09,-179.382,420
