X,Y,R,T,long
-1.9386e-09,-1.77353e-11,1.83855e-09,-179.478,464
-2.00227e-09,-1.6371e-11,1.90177e-09,-179.532,463
-2.0823e-09,-1.59163e-11,1.98317e-09,-179.568,462
-2.02364e-09,-1.50068e-11,1.90177e-09,-179.574,461
-1.77989e-09,-1.22782e-11,1.67712e-09,-179.628,460
-1.82946e-09,-1.04592e-11,1.72896e-09,-179.688,459
-1.9336e-09,-9.095e-12,1.85219e-09,-179.748,458
-2.417e-09,-7.27601e-12,2.3215e-09,-179.838,457
-2.56297e-09,-6.82124e-12,2.46247e-09,-179.85,456
-2.62436e-09,-4.09275e-12,2.52386e-09,-179.91,455
-2.69257e-09,-1.819e-12,2.59253e-09,-179.964,454
-2.7426e-09,-4.54751e-13,2.6421e-09,-179.994,453
-2.87811e-09,9.09502e-13,2.78034e-09,179.964,452
-2.96724e-09,1.36425e-12,2.86811e-09,179.97,451
-2.92358e-09,-9.09502e-13,2.81854e-09,-179.988,450
-2.90858e-09,-4.54751e-13,2.79353e-09,-179.988,449
-2.65665e-09,-2.27375e-12,2.55115e-09,-179.958,448
-2.633e-09,-2.7285e-12,2.5325e-09,-179.94,447
-2.67529e-09,-3.63801e-12,2.58116e-09,-179.928,446
-2.84355e-09,-5.457e-12,2.73714e-09,-179.892,445
-2.78625e-09,-6.36649e-12,2.68075e-09,-179.88,444
-2.67302e-09,-7.73076e-12,2.56661e-09,-179.838,443
-2.61481e-09,-9.54975e-12,2.52386e-09,-179.79,442
-2.87856e-09,-1.31877e-11,2.77625e-09,-179.736,441
-2.85173e-09,-1.54615e-11,2.74532e-09,-179.688,440
-2.76624e-09,-1.77353e-11,2.65983e-09,-179.64,439
-2.67075e-09,-1.90995e-11,2.56388e-09,-179.598,438
-2.5798e-09,-2.0009e-11,2.47248e-09,-179.562,437
-2.48384e-09,-1.95542e-11,2.37652e-09,-179.556,436
-2.38335e-09,-1.95542e-11,2.27557e-09,-179.532,435
-2.2833e-09,-1.86448e-11,2.17598e-09,-179.538,434
-2.18235e-09,-1.77353e-11,2.07457e-09,-179.544,433
-2.08503e-09,-1.6371e-11,1.97771e-09,-179.55,432
-1.98408e-09,-1.36425e-11,1.87676e-09,-179.616,431
-1.8904e-09,-1.13687e-11,1.78307e-09,-179.664,430
-1.79399e-09,-9.095e-12,1.68667e-09,-179.724,429
-1.70167e-09,-5.91174e-12,1.59481e-09,-179.808,428
-1.62209e-09,-4.09275e-12,1.51386e-09,-179.856,427
-1.57161e-09,-9.09502e-13,1.4652e-09,-179.976,426
-1.49431e-09,4.54751e-13,1.3879e-09,179.976,425
-1.42791e-09,1.36425e-12,1.3215e-09,179.934,424
-1.36288e-09,3.63801e-12,1.25693e-09,179.844,423
-1.3065e-09,4.5475e-12,1.20054e-09,179.778,422
-1.23828e-09,5.00225e-12,1.13187e-09,179.754,421
-1.17189e-09,4.5475e-12,1.06593e-09,179.772,420
