X,Y,R,T,long
-1.72123e-09,-6.13912e-12,1.66984e-09,-179.802,542
-1.73919e-09,-7.04861e-12,1.68848e-09,-179.778,541
-1.7526e-09,-8.18551e-12,1.70144e-09,-179.736,540
-1.76625e-09,-8.86763e-12,1.71509e-09,-179.718,539
-1.77693e-09,-1.00045e-11,1.72555e-09,-179.688,538
-1.78421e-09,-1.0914e-11,1.73305e-09,-179.652,537
-1.79694e-09,-1.13687e-11,1.74555e-09,-179.634,536
-1.80376e-09,-1.29604e-11,1.75238e-09,-179.592,535
-1.80876e-09,-1.2733e-11,1.75738e-09,-179.598,534
-1.81218e-09,-1.29604e-11,1.76056e-09,-179.592,533
-1.81513e-09,-1.38698e-11,1.76329e-09,-179.562,532
-1.81809e-09,-1.25056e-11,1.76647e-09,-179.61,531
-1.82036e-09,-1.20509e-11,1.76875e-09,-179.622,530
-1.8215e-09,-1.18235e-11,1.76988e-09,-179.634,529
-1.82082e-09,-1.04592e-11,1.7692e-09,-179.676,528
-1.82059e-09,-8.86763e-12,1.76897e-09,-179.724,527
-1.81968e-09,-8.18551e-12,1.76806e-09,-179.748,526
-1.81786e-09,-6.36649e-12,1.76602e-09,-179.808,525
-1.81513e-09,-5.457e-12,1.76306e-09,-179.832,524
-1.81195e-09,-4.5475e-12,1.75988e-09,-179.862,523
-1.80695e-09,-3.41062e-12,1.75488e-09,-179.898,522
-1.80126e-09,-2.27375e-12,1.74919e-09,-179.928,521
-1.79512e-09,-1.36425e-12,1.74305e-09,-179.964,520
-1.78876e-09,-4.54751e-13,1.73691e-09,-179.988,519
-1.7808e-09,-1.59162e-12,1.72873e-09,-179.952,518
-1.7717e-09,-9.09502e-13,1.71941e-09,-179.97,517
-1.76102e-09,-2.27375e-12,1.70872e-09,-179.922,516
-1.74851e-09,-3.18325e-12,1.69621e-09,-179.904,515
-1.73532e-09,-4.5475e-12,1.68325e-09,-179.85,514
-1.72168e-09,-5.00225e-12,1.66938e-09,-179.832,513
-1.70508e-09,-6.13912e-12,1.65256e-09,-179.796,512
-1.68803e-09,-7.50339e-12,1.63551e-09,-179.748,511
-1.67029e-09,-8.86763e-12,1.61754e-09,-179.694,510
-1.6496e-09,-1.00045e-11,1.59708e-09,-179.658,509
-1.6421e-09,-1.11414e-11,1.59026e-09,-179.616,508
-1.61413e-09,-1.20509e-11,1.56047e-09,-179.574,507
-1.57957e-09,-1.31877e-11,1.52659e-09,-179.514,506
-1.55433e-09,-1.38698e-11,1.50158e-09,-179.502,505
-1.5291e-09,-1.38698e-11,1.47612e-09,-179.49,504
-1.51227e-09,-1.38698e-11,1.46066e-09,-179.484,503
-1.5034e-09,-1.31877e-11,1.45065e-09,-179.502,502
-1.47885e-09,-1.25056e-11,1.42609e-09,-179.514,501
-1.45111e-09,-1.18235e-11,1.39836e-09,-179.538,500
-1.42359e-09,-1.11414e-11,1.37062e-09,-179.556,499
-1.39881e-09,-1.00045e-11,1.34583e-09,-179.598,498
-1.37198e-09,-8.64026e-12,1.31923e-09,-179.646,497
-1.33333e-09,-7.73076e-12,1.27989e-09,-179.67,496
-1.29831e-09,-6.13912e-12,1.24533e-09,-179.736,495
-1.27648e-09,-5.68437e-12,1.22373e-09,-179.754,494
-1.24783e-09,-3.41062e-12,1.19486e-09,-179.85,493
-1.22464e-09,-2.50112e-12,1.17212e-09,-179.886,492
-1.20463e-09,-2.27375e-12,1.15211e-09,-179.898,491
-1.18576e-09,-1.819e-12,1.13324e-09,-179.922,490
-1.16825e-09,-1.819e-12,1.11618e-09,-179.916,489
-1.16371e-09,-1.36425e-12,1.11141e-09,-179.94,488
-1.14847e-09,-2.04638e-12,1.09595e-09,-179.91,487
